Bairro,Endereco,Quartos,Tipo,Preco,Distancia do aeroporto,CEP,Banheiro,Vagas,Area terreno,Area construida,Ano da construcao,Latitude,Longitude
Reservoir,13 Whitby St,3,casa,767000,11.2,3073,1,2,561,96,1950,-37.7098,145.0031
Preston,82 Raglan St,2,casa,837000,8.8,3072,1,3,581,96,1950,-37.7508,145.0209
Bentleigh East,24 Veronica St,3,casa,910000,13.9,3165,1,1,587,96,1950,-37.9241,145.0763
Bentleigh East,641 Warrigal Rd,3,casa,,13.9,3165,1,2,606,96,1950,-37.9252,145082
Ashwood,10 Parkhill Dr,3,casa,,12.2,3147,1,1,768,96,1950,-37.8632,145.1094
Hawthorn,7/150 Barkers Rd,2,kitnet,,4.6,3122,1,1,,97,1950,-37.8142,145.0308
Coburg North,127 Elizabeth St,3,casa,637000,9.2,3058,1,4,498,97,1950,-37.7323,144.9833
Reservoir,89 Henty St,2,casa,790000,11.2,3073,1,1,585,97,1950,-37719,144.9972
Chadstone,5 Bullarto St,2,casa,1002000,13.6,3148,1,1,585,97,1950,-37.8792,145.0948
Fawkner,3 Syndal St,3,casa,650000,12.4,3060,1,3,602,97,1950,-37.7144,144.9737
Glenroy,1 Gordon Ct,3,casa,737000,13,3046,1,4,640,97,1950,-37.6986,144.9243
Fawkner,151 McBryde St,3,casa,640000,12.4,3060,1,2,720,97,1950,-37.7043,144.9769
Hughesdale,18 Paget St,2,casa,1550000,13,3166,1,1,732,97,1950,-37.8931,145.0791
Moorabbin,15 Biscop Rd,2,casa,1191000,14.6,3189,1,2,756,97,1950,-37.94,145.0449
Heidelberg Heights,146 Porter Rd,2,casa,920000,10.5,3081,1,3,932,97,1950,-37.7333,145.0588
Ashwood,1/148 High Street Rd,3,kitnet,,12.2,3147,1,2,353,98,1950,-37.8676,145107
Hadfield,2 Knole St,2,casa,610000,12.1,3046,1,1,394,98,1950,-37.7153,144.9507
Coburg North,15 Ronald St,3,casa,655000,9.2,3058,1,0,404,98,1950,-37.7305,144.9803
Reservoir,96 Whitelaw St,3,casa,650000,11.2,3073,1,1,700,98,1950,-37.7125,145022
Heidelberg West,111 Ramu Pde,3,casa,722000,9.4,3081,1,2,593,99,1950,-37.7386,145.0387
Kingsville,154 Chirnside St,3,casa,,7.8,3012,1,0,271,100,1950,-37.8118,144.8818
Glenroy,69 Hartington St,3,casa,,13,3046,1,2,309,100,1950,-37.6963,144.9164
Bentleigh East,7 Celia St,3,casa,986000,13.9,3165,1,3,337,100,1950,-37.93308,145.05862
Ashburton,7A Wirraway Ct,3,casa,,11,3147,1,1,370,100,1950,-37.8675,145.0895
Fairfield,270 Arthur St,2,casa,,5.8,3078,1,1,405,100,1950,-37.76617,145.02118
Preston,12 Newcastle St,3,casa,890000,8.8,3072,1,2,495,100,1950,-37.7521,145.0114
Pascoe Vale,217 Sussex St,3,casa,599000,9.9,3044,1,1,534,100,1950,-37.7215,144951
Preston,70 Jensen Rd,3,casa,,8.8,3072,1,1,577,100,1950,-37.7377,145.0243
Essendon,45 Ogilvie St,2,casa,1130000,8,3040,1,1,646,100,1950,-37.7502,144.8923
Sunshine West,100 Links St,3,casa,571000,13.5,3020,1,1,757,100,1950,-37.79,144.80473
Preston,126 Albert St,3,casa,600000,8.8,3072,1,3,503,101,1950,-37739,145.0238
Balwyn,2 Henry St,2,casa,,9.7,3103,1,2,589,101,1950,-37.8116,145.0806
Heidelberg Heights,484 Waterdale Rd,3,casa,915000,10.5,3081,1,1,748,101,1950,-37.7416,145.0481
Ashburton,9 Gona Ct,3,casa,1710000,11,3147,1,2,806,101,1950,-37.8695,145084
West Footscray,20 Richelieu St,3,casa,,8.2,3012,1,2,352,102,1950,-37.7914,144871
Sunshine West,27 Davey St,3,casa,687000,13.5,3020,1,1,695,102,1950,-37.7853,144.8114
Richmond,24 Butler St,2,casa,937000,2.6,3121,1,1,125,103,1950,-37.8106,144994
Yarraville,6 Sanderson St,2,casa,890000,7,3013,1,2,471,103,1950,-37.8149,144.8707
Coburg North,14 Adler Gr,3,casa,,9.2,3058,1,2,494,103,1950,-37.7195,144.9534
Coburg,4 Wellington St,4,casa,,7.8,3058,1,1,393,104,1950,-37744,144.9582
Pascoe Vale,4 Raeburn St,3,casa,700000,9.9,3044,1,2,449,104,1950,-37.7286,144.9456
Spotswood,18 Vernier St,2,casa,850000,7.7,3015,1,2,502,104,1950,-37.8263,144.8775
Airport West,13 Etzel St,3,casa,805000,13.5,3042,1,1,,105,1950,-37.7217,144.8783
Bentleigh East,1/62 Tudor St,3,casa,810000,13.9,3165,1,1,294,105,1950,-37.91901,145.08031
Glenroy,42 Sadie St,3,casa,822000,13,3046,1,4,700,105,1950,-37.6988,144.9438
Coburg,71 Ohea St,3,casa,,7.8,3058,1,1,241,106,1950,-37.7372,144.9595
Essendon,76 Ogilvie St,3,casa,960000,8,3040,1,2,549,106,1950,-37.7479,144.8931
Sunshine,94 Couch St,4,casa,670000,12.6,3020,1,1,603,106,1950,-37.7945,144.8267
Oakleigh,3 Estelle St,3,casa,1045000,14,3166,1,2,602,107,1950,-37.8923,145.1013
Oakleigh South,28 Devoy St,3,casa,1260500,14.7,3167,1,1,774,107,1950,-37.9178,145.0872
Box Hill,15 Davey St,3,casa,948000,13.1,3128,1,2,384,108,1950,-37.8167,145.1373
Yarraville,9 Richards St,3,casa,,7,3013,1,2,472,108,1950,-37.8149,144.8628
Murrumbeena,5 Donal St,3,casa,1255000,12.1,3163,1,2,557,108,1950,-37.90128,
Altona North,1 Beuron Rd,3,casa,,11.1,3025,1,1,620,108,1950,-37829,144848
Braybrook,4 Orange St,3,casa,,10.8,3019,1,1,621,108,1950,-37.7834,144.8526
Coburg North,7 Manly Ct,3,casa,700000,9.2,3058,1,2,626,108,1950,-37.7201,144.9696
Bentleigh,6 Atkinson St,3,casa,1293000,13,3204,1,1,632,108,1950,-37.9282,145.0367
Essendon,20 Warner St,2,casa,890000,8,3040,1,1,649,108,1950,-37.7445,144.9133
Coburg,37 Elizabeth St,3,casa,680000,7.8,3058,1,0,702,108,1950,-37.7391,144.9812
Bellfield,305 Bell St,3,casa,645000,9.5,3081,1,2,631,109,1950,-37.7506,145043
Thornbury,40 Wales St,2,casa,940000,6.5,3071,1,1,372,110,1950,-37.7631,145.0091
Box Hill,21 Barkly St,3,casa,1200000,13.1,3128,1,2,550,110,1950,-37.8275,145.1298
Reservoir,43 Kingsley Rd,3,casa,865000,11.2,3073,1,3,560,110,1950,-37721,144.9885
Bentleigh East,13 Claronga St,3,casa,885000,13.9,3165,1,2,565,110,1950,-37.9262,145.0808
Jacana,147 Sunset Bvd,3,casa,350000,14.5,3047,1,2,600,110,1950,-37.6866,144.9086
Newport,82 Charlotte St,3,casa,880000,8.4,3015,1,1,557,111,1950,-37834,144.8668
Ashburton,14 Lucerne St,3,casa,1415000,11,3147,1,1,605,111,1950,-37.8703,145.0774
Pascoe Vale,12 Coane St,3,casa,960000,9.9,3044,1,2,641,111,1950,-37.7253,144938
Burwood,48 Station St,3,casa,1160000,11.7,3125,1,1,786,111,1950,-37.8525,145.1198
Oakleigh South,1/19 Dermot St,2,casa,752500,14.7,3167,1,1,308,112,1950,-37.9191,145.0855
Coburg,32A Kelson St,3,casa,1025000,7.8,3058,1,3,336,112,1950,-37.7408,144.9558
Reservoir,1/74 Miranda Rd,3,casa,605000,11.2,3073,1,2,371,112,1950,-37.69547,144.98757
Burwood,1/46 Gillard St,3,casa,570000,11.7,3125,1,1,384,112,1950,-37.8542,145.1138
Ashburton,5 Nicholas St,3,casa,1337000,11,3147,1,2,583,112,1950,-37.8685,145.0786
Sunshine North,8 Hassett St,3,casa,650000,13.3,3020,1,0,598,112,1950,-37.7705,144.8307
Fawkner,46 Percy St,3,casa,615000,12.4,3060,1,2,650,112,1950,-37.7076,144.9753
Coburg,2 Autumn St,3,casa,,7.8,3058,1,2,491,113,1950,-37.7357,144.9502
Reservoir,28 Eisenhower St,3,casa,,11.2,3073,1,1,627,113,1950,-37.7297,145.0274
Kingsville,200 Somerville Rd,3,casa,760000,7.8,3012,1,1,350,114,1950,-37.8123,144.8805
Yarraville,38 Benbow St,2,casa,780000,7,3013,1,1,435,114,1950,-37.8223,144.8779
Essendon,49 Albion St,3,casa,1134000,8,3040,1,1,551,114,1950,-37.7571,144.9335
Ashwood,18 Montrose St,2,casa,1075000,12.2,3147,1,2,695,114,1950,-37.8694,145.0944
Bentleigh East,1/811 Centre Rd,2,casa,710000,13.9,3165,1,1,,115,1950,-37.9212,145.0606
West Footscray,47 Fontein St,3,casa,,8.2,3012,1,1,281,115,1950,-37.8007,144.8635
Sunshine,1/164 Cornwall Rd,3,kitnet,490000,12.6,3020,1,1,301,115,1950,-37.7793,144.8427
Pascoe Vale,23 Alexandra St,3,casa,780000,9.9,3044,1,1,446,115,1950,-37.7181,144.9422
Aberfeldie,4 Brunel Ct,3,casa,1190000,9.1,3040,1,1,465,115,1950,-37.7626,144.8954
Thornbury,292 Rathmines St,3,casa,1275000,6.5,3071,1,2,517,115,1950,-37.75977,145.01277
Reservoir,21 Henty St,3,casa,801000,11.2,3073,1,1,551,115,1950,-37.72097,145.0203
Coburg North,27 McMahons Rd,3,casa,864000,9.2,3058,1,2,565,115,1950,-37.7283,144969
Ivanhoe,113 Green St,3,casa,1102000,7.9,3079,1,1,597,115,1950,-37.7645,145.0314
Mont Albert,371 Elgar Rd,2,casa,1320000,11.8,3127,1,1,613,115,1950,-37.8238,145.1135
Glenroy,137 Glenroy Rd,2,casa,730000,13,3046,1,1,705,115,1950,-37706,144.9245
Brighton,4/23 South Rd,3,kitnet,1266000,11.2,3186,1,2,277,116,1950,-37.9268,144991
Essendon,62 Mary St,3,casa,855000,8,3040,1,2,396,116,1950,-37.7484,144.8907
Spotswood,6 McNeilage St,2,casa,832500,7.7,3015,1,2,562,116,1950,-37.8333,144.8868
Balwyn North,42 Maud St,3,casa,1480000,9.2,3104,1,4,605,116,1950,-37.7951,145.0696
Glenroy,23 Cromwell St,3,casa,660000,13,3046,1,2,657,116,1950,-37.7019,144.9225
West Footscray,37 Fontein St,3,casa,,8.2,3012,1,3,464,117,1950,-37.8008,144.8641
Malvern East,546 Waverley Rd,3,casa,,11.2,3145,1,1,591,117,1950,-37.8801,145.0724
Ivanhoe East,24 Flora Gr,3,casa,1605000,9,3079,1,1,624,117,1950,-37.7741,145.0506
Moorabbin,34 Fletcher St,3,casa,,14.6,3189,1,2,588,118,1950,-37.9366,145.0522
Burwood,1 Leopold St,3,casa,,11.7,3125,1,2,763,118,1950,-37.8589,145.0948
Yarraville,76 Kidman St,3,casa,670000,7,3013,1,1,463,119,1950,-37.8137,144.8636
Niddrie,14 Vaynor St,3,casa,1105000,11.2,3042,1,1,643,119,1950,-37.7449,144.8899
Oakleigh South,6 Bossington St,2,casa,,14.7,3167,1,2,650,119,1950,-37.9166,145.0848
Balwyn North,2/21 Pavo St,3,kitnet,700000,9.2,3104,1,1,350,120,1950,-37.78621,145.07393
Preston,4 Raymond St,4,casa,840000,8.8,3072,1,2,390,120,1950,-37.7395,144.9843
Footscray,32 Commercial Rd,3,casa,1155000,6.4,3011,1,3,585,120,1950,-37.7941,144.8924
Coburg North,2 Shaw Ct,3,casa,,9.2,3058,1,4,609,120,1950,-37.7189,144.9527
Bentleigh,1/236 Patterson Rd,3,kitnet,875000,13,3204,1,2,348,121,1950,-37.9273,145.0479
Brunswick West,48 Hunter St,4,casa,,5.9,3055,1,1,459,122,1950,-37.7658,144.9457
Bentleigh East,1 Jassa St,3,casa,1352000,13.9,3165,1,2,686,122,1950,-37.9113,145.0765
Reservoir,108 McMahon Rd,2,casa,,11.2,3073,1,1,695,122,1950,-37.7104,145.0152
Glen Iris,1597 Malvern Rd,2,casa,1280000,9.2,3146,1,1,412,123,1950,-37.8541,145051
West Footscray,13 Soudan Rd,3,casa,840000,8.2,3012,1,1,442,123,1950,-37.7914,144.8812
Abbotsford,60 Stafford St,3,casa,1290000,2.5,3067,1,1,168,124,1950,-37.8007,144.9958
Balwyn North,88 Longview Rd,3,casa,1450000,9.2,3104,1,2,665,124,1950,-37.7862,145.0781
South Kingsville,69 Watt St,3,casa,985000,9.1,3015,1,5,669,124,1950,-37.8321,144.8736
Maribyrnong,66 Raleigh Rd,3,casa,907000,8.7,3032,1,2,678,124,1950,-37769,144.8935
Heidelberg,34 Quinn St,3,casa,1125000,10.6,3084,1,2,,125,1950,-37.7502,145.0718
Maidstone,10 Thomson St,3,casa,832000,9.2,3012,1,2,300,125,1950,-37.7896,144.8752
Niddrie,50 Hotham Rd,3,casa,1015000,11.2,3042,1,1,643,125,1950,-37736,144.8839
Rosanna,23 Silk St,3,casa,908000,11.4,3084,1,2,692,125,1950,-37.7345,145.0753
Bentleigh,5 Luckins Rd,3,casa,1165000,13,3204,1,2,694,125,1950,-37.9315,145.0445
Sunshine,14 Staughton St,3,casa,600000,12.6,3020,1,1,,126,1950,-37.7796,144.8455
Malvern East,21 Virginia Gr,3,casa,1782500,11.2,3145,1,2,615,126,1950,-37.8846,145.0861
Spotswood,66 The Avenue,3,casa,1070000,7.7,3015,1,2,526,127,1950,-37.8267,144.8779
Essendon,33 Ogilvie St,4,casa,1113000,8,3040,1,2,533,127,1950,-37.7509,144.8922
Strathmore,10 Head St,2,casa,,9.7,3041,1,1,645,127,1950,-37.7372,144.9211
Balwyn,49 Yongala St,3,casa,,9.7,3103,1,0,777,127,1950,-37.8055,145.0778
Reservoir,54 Pine St,3,casa,793000,11.2,3073,1,2,589,128,1950,-37.7195,144.9982
Sunshine North,25 Lodden St,4,casa,626800,13.3,3020,1,2,581,130,1950,-37.7712,144.8336
Ivanhoe East,11 Oakdene Pl,3,casa,,9,3079,1,2,582,130,1950,-37771,145.0592
Heidelberg Heights,14 Sackville St,3,casa,785000,10.5,3081,1,0,592,130,1950,-37.7477,145.0481
Burwood,1 Leonard St,3,casa,,11.7,3125,1,1,620,130,1950,-37.85429,145.11945
Sunshine West,18 Raymond St,4,casa,621000,13.5,3020,1,1,700,130,1950,-37.7902,144.8102
Eaglemont,41 Glenard Dr,2,casa,,10.3,3084,1,1,733,130,1950,-37.7627,145.0696
Altona,24 Wren St,4,casa,845000,13.8,3018,1,2,745,130,1950,-37.8658,144.8155
West Footscray,11 Elphinstone St,3,casa,820000,8.2,3012,1,3,440,131,1950,-37.7937,144.8732
Sunshine West,23 Glengala Rd,3,casa,547500,13.5,3020,1,2,603,131,1950,-37.7891,144823
Bentleigh East,12 Barrani St,3,casa,1050000,13.9,3165,1,4,726,131,1950,-37.9117,145.0695
Yarraville,347 Williamstown Rd,3,casa,781500,7,3013,1,2,341,132,1950,-37.8224,144.8818
Pascoe Vale,22 Derby St,3,casa,835000,9.9,3044,1,2,422,132,1950,-37.7337,144.9458
Pascoe Vale,259 Sussex St,3,casa,612500,9.9,3044,1,1,522,132,1950,-37.7187,144.9514
Box Hill,23 Bass St,3,casa,1325000,13.1,3128,1,1,702,134,1950,-37827,145.1209
Fawkner,6 Lock St,4,casa,752500,12.4,3060,1,2,,135,1950,-37.7106,144.9682
Glenroy,72 Pecham St,3,casa,670000,13,3046,1,3,705,135,1950,-37.6967,144.9116
Preston,6 Willow St,3,casa,,8.8,3072,1,2,519,136,1950,-37.7453,144.9824
Burwood,2 Elgar Rd,3,casa,1300000,11.7,3125,1,1,667,136,1950,-37.8489,145.1093
Preston,2A Stafford St,3,casa,,8.8,3072,1,2,392,137,1950,-37.7464,144985
Travancore,65 Delhi Ct,4,casa,,5.3,3032,1,1,584,137,1950,-37.7818,144.9384
Balwyn North,36 Kenny St,3,casa,2251000,9.2,3104,1,2,888,137,1950,-37.8002,145.0949
Ivanhoe,225 Waterdale Rd,3,casa,,7.9,3079,1,2,609,138,1950,-37.7596,145.0446
Glen Iris,10 Morell St,3,casa,1800000,9.2,3146,1,3,732,138,1950,-37.85619,145.0518
Reservoir,30 Ashton St,3,casa,731000,11.2,3073,1,2,779,138,1950,-37.7292,145.0214
Pascoe Vale,54 Railway Pde,3,casa,900000,9.9,3044,1,1,570,139,1950,-37.7273,144.9274
Niddrie,5 Hamilton St,3,casa,991000,11.2,3042,1,1,716,139,1950,-37.7368,144.8856
Fairfield,225 Gillies St,3,casa,1055000,5.8,3078,1,2,382,140,1950,-37.7696,145.0188
Ivanhoe,33 Livingstone St,3,casa,1535000,7.9,3079,1,2,691,140,1950,-37.7674,145.0392
Oakleigh,1249 North Rd,3,casa,865000,14,3166,1,2,691,140,1950,-37.9109,145.0995
Pascoe Vale,9 Irvine St,3,casa,1120000,9.9,3044,1,2,50,141,1950,-37734,144.9416
Brunswick West,7 Morrow St,3,casa,910000,5.9,3055,1,2,717,141,1950,-37.7525,144.9321
Sunshine North,88 Westmoreland Rd,2,casa,1190000,13.3,3020,1,6,968,141,1950,-37.7698,144.8362
Murrumbeena,2 Blythe St,3,casa,,12.1,3163,1,2,751,142,1950,-37.9022,145.0747
Maribyrnong,19 Warrs Rd,3,casa,1105000,8.7,3032,1,4,762,142,1950,-37.7707,144.8924
Bentleigh,4 Daley St,3,casa,1370000,13,3204,1,2,624,143,1950,-37.9256,145.0374
South Kingsville,42 Watt St,4,casa,930000,9.1,3015,1,3,669,143,1950,-37.8305,144.8736
Preston,140 Murray Rd,3,casa,930000,8.8,3072,1,2,679,143,1950,-37.7392,145.0163
Balwyn North,2/2 Hatfield St,2,casa,,9.2,3104,1,1,170,144,1950,-37.7935,145.0663
Brunswick East,10 Harrison St,3,casa,1310000,4.5,3057,1,2,456,144,1950,-37.7638,144.9804
Newport,153 Mason St,3,casa,950000,8.4,3015,1,2,453,145,1950,-37.8414,144.8707
Coburg North,17 Mathieson St,3,casa,860000,9.2,3058,1,3,586,145,1950,-37.7205,144.9659
Brighton East,4 Farmer St,2,casa,1845000,10.7,3187,1,2,604,145,1950,-37.9268,145.0094
Newport,63 Hobson St,3,casa,1075000,8.4,3015,1,0,452,146,1950,-37.84307,144.87213
Hawthorn East,12 Heather Ct,3,casa,,7.5,3123,1,1,505,146,1950,-37.8389,145.0433
Bentleigh East,9 Edinburgh St,3,casa,,13.9,3165,1,2,590,146,1950,-37.9167,145.0684
Oakleigh South,2 Kaybrook Ct,3,casa,1042500,14.7,3167,1,4,658,146,1950,-37.91542,145089
Eaglemont,27 Ormond Rd,3,casa,,10.3,3084,1,1,981,146,1950,-37.7673,145.0583
Hadfield,6 Mikado St,3,casa,,12.1,3046,1,2,696,147,1950,-37.7054,144.9402
Rosanna,1/73 Lower Plenty Rd,4,casa,821000,11.4,3084,1,2,403,148,1950,-37.7437,145.0633
Glen Iris,17 Bonnyview St,3,casa,,9.2,3146,1,1,788,150,1950,-37.8524,145.0885
West Footscray,744 Barkly St,4,casa,,8.2,3012,1,5,797,153,1950,-37.7958,144.8643
Coburg North,24 Arthur St,4,casa,,9.2,3058,1,3,535,155,1950,-37.7235,144.9827
Thornbury,50 Leinster Gr,3,casa,1110000,6.5,3071,1,1,562,156,1950,-37.7602,144.9878
Brooklyn,6 Millers Rd,2,casa,1005000,10.9,3012,1,2,780,156,1950,-37.82407,
Ashwood,16 Carlyle St,3,casa,,12.2,3147,1,1,706,157,1950,-37.8612,145.0958
Strathmore,8 Upland Rd,3,casa,1430000,9.7,3041,1,1,694,158,1950,-37.7411,144.9262
Heidelberg,10 Cleve Gr,3,casa,1195000,10.6,3084,1,1,662,159,1950,-37.7507,145062
Bentleigh East,23 York St,4,casa,1035000,13.9,3165,1,2,610,160,1950,-37.9193,145.0691
Williamstown North,27 Champion Rd,3,casa,1575000,8.9,3016,1,1,860,160,1950,-37.83592,145.02368
Bentleigh East,15 Lilac St,4,casa,1292000,13.9,3165,1,2,587,161,1950,-37.91944,145.05697
Moorabbin,8 Barilla Rd,4,casa,1035000,14.6,3189,1,2,688,161,1950,-37.9411,145043
Oakleigh,6 Cambridge St,3,casa,,14,3166,1,3,483,162,1950,-37.9045,145.0924
Surrey Hills,5 Olyve Ct,3,casa,,11.2,3127,1,1,805,163,1950,-37.8342,145.1011
Balwyn North,14 Bernard St,3,casa,,9.2,3104,1,1,612,165,1950,-37787,145.0798
Reservoir,14 Wilkinson St,3,casa,,11.2,3073,1,1,651,165,1950,-37.7264,145.0184
Malvern East,32 Chadstone Rd,3,casa,2250000,11.2,3145,1,2,840,170,1950,-37.88298,
Balwyn North,40 Panoramic Rd,3,casa,,9.2,3104,1,2,729,175,1950,-37.7903,145.0796
Brighton East,11 Billson St,3,casa,1400000,10.7,3187,1,3,613,182,1950,-37.9177,145.0143
Bentleigh East,4 Mawby Rd,4,casa,1433500,13.9,3165,1,1,725,186,1950,-37.9289,145.0502
Sunshine,2 Colin St,4,casa,990000,12.6,3020,1,6,654,189,1950,-37.78665,144.84188
Heidelberg,13 Hodgson St,3,casa,1110000,10.6,3084,1,2,600,190,1950,-37752,145.0722
Essendon West,53 Clydebank Rd,3,casa,1115000,9.8,3040,1,1,688,192,1950,-37.7577,144.8892
Rosanna,21 Ruthven St,3,casa,1050000,11.4,3084,1,2,1016,205,1950,-37.7299,145.0656
Mont Albert,6 Serpentine St,5,casa,1815000,11.8,3127,1,0,711,207,1950,-37.8195,145.1134
Pascoe Vale,103 Sussex St,2,casa,1570000,9.9,3044,1,1,746,265,1950,-37.7304,144.9496
Preston,5 Ventnor St,3,casa,1123000,8.8,3072,1,2,504,506,1950,-37.7476,144.9842
Balwyn North,15 Illawarra Rd,3,casa,1903000,9.2,3104,1,2,713,720,1950,-37.7982,145.0816
Ashwood,35 Douglas St,3,casa,1365000,12.2,3147,1,1,792,792,1950,-37864,145.0972
Sunshine,69 Duke St,3,casa,710000,12.6,3020,1,0,483,93.84,1950,-37.78108,144.83827
Balwyn North,5/133 Maud St,2,kitnet,560000,9.2,3104,1,1,,,1950,-37.7961,145.0808
Surrey Hills,5/402 Whitehorse Rd,2,kitnet,562500,11.2,3127,1,0,,,1950,-37.8138,145.0879
Elwood,4/5 Southey Ct,2,kitnet,717000,7.7,3184,1,1,,,1950,-37.8758,144.9874
Brighton,2/42 Grosvenor St,2,kitnet,590000,11.2,3186,1,1,,,1950,-37.9097,144.9914
Sunshine,11 Thomson St,3,casa,625000,12.6,3020,1,1,203,,1950,-37.7853,144843
Maidstone,18 Wallace St,3,casa,746000,9.2,3012,1,1,314,,1950,-37.7877,144.8772
Maidstone,40 Howard St,3,casa,740000,9.2,3012,1,2,333,,1950,-37.7889,144.8787
Preston,9 Ambon St,2,casa,565000,8.8,3072,1,2,349,,1950,-37.7351,145.0271
Ascot Vale,2 Farncomb St,3,casa,801000,5.9,3032,1,2,431,,1950,-37781,144.9207
West Footscray,17 Braid St,2,casa,650000,8.2,3012,1,1,452,,1950,-37.79707,144.87077
Pascoe Vale,9 Somerset St,2,casa,775000,9.9,3044,1,2,527,,1950,-37.7304,144.9261
Sunshine,17 Hampshire Rd,3,casa,702000,12.6,3020,1,1,542,,1950,-37.7949,144.8303
Sunshine,95 Couch St,3,casa,,12.6,3020,1,7,543,,1950,-37.7948,144.8267
Preston,329 Plenty Rd,3,casa,900000,8.8,3072,1,2,560,,1950,-37.7418,145.0089
Reservoir,15 George St,3,casa,800000,11.2,3073,1,2,570,,1950,-37718,144.9999
Ashwood,18 Teck St,2,casa,995000,12.2,3147,1,1,583,,1950,-37.8693,145.1082
Hadfield,63 East St,3,casa,,12.1,3046,1,2,585,,1950,-37.7095,144.9501
Coburg North,9 Marama St,4,casa,1009000,9.2,3058,1,2,590,,1950,-37.7197,144.9585
Airport West,48 Bedford St,3,casa,872500,13.5,3042,1,1,594,,1950,-37.79699,144.99627
Fairfield,7 Darling St,3,casa,,5.8,3078,1,2,600,,1950,-37.7756,145.0248
Balwyn,46 Yongala St,3,casa,1850000,9.7,3103,1,1,607,,1950,-37.8058,145.0781
Reservoir,906 High St,3,casa,700000,11.2,3073,1,1,621,,1950,-37.7195,145.0074
Oakleigh South,272 Warrigal Rd,3,casa,985100,14.7,3167,1,2,621,,1950,-37.80291,144.95131
Coburg North,9 Princess St,3,casa,,9.2,3058,1,1,647,,1950,-37.7197,144964
Strathmore,49 Glenview Rd,4,casa,1265000,9.7,3041,1,1,649,,1950,-37.7367,144.9204
Essendon,154 Spencer St,4,casa,1560000,8,3040,1,2,650,,1950,-37.7452,144.8941
Niddrie,33 Newman St,3,casa,875000,11.2,3042,1,0,656,,1950,-37738,144.8816
Braybrook,160 Duke St,2,casa,826000,10.8,3019,1,2,667,,1950,-37.7799,144.8473
Heidelberg Heights,4 Milton Ct,3,casa,743000,10.5,3081,1,0,673,,1950,-37.7428,145.0494
Ivanhoe,114 Bond St,3,casa,1075000,7.9,3079,1,2,677,,1950,-37.7616,145.0322
Bentleigh,41 Wavell St,4,casa,,13,3204,1,2,682,,1950,-37.9148,145.0467
Oak Park,1 Ash Gr,3,casa,955000,11.5,3046,1,2,690,,1950,-37.71202,145.01071
Spotswood,73 The Avenue,3,casa,1040000,7.7,3015,1,3,690,,1950,-37.8272,144.8789
Preston,21 Dunstan St,3,casa,925000,8.8,3072,1,2,693,,1950,-37.7315,144988
Reservoir,146 North Rd,3,casa,812000,11.2,3073,1,2,696,,1950,-37.7223,145.0126
Albion,27 Burnewang St,2,casa,670000,13.9,3020,1,2,697,,1950,-37.7835,144.8176
Box Hill,89 Thames St,4,casa,2770000,13.1,3128,1,2,715,,1950,-37.8135,145.1218
Preston,4 Hay St,2,casa,,8.8,3072,1,1,718,,1950,-37.7518,145.0194
Brunswick West,487 Brunswick Rd,3,casa,1150000,5.9,3055,1,2,726,,1950,-37.7747,144.9421
Rosanna,20 Douglas St,3,casa,,11.4,3084,1,1,754,,1950,-37.7429,145.0702
Kingsbury,33 Clunes St,2,casa,705500,12.4,3083,1,1,770,,1950,-37.7159,145.0389
Balwyn North,141 Greythorn Rd,5,casa,1500000,9.2,3104,1,1,800,,1950,-37.8023,145.0976
Glenroy,24a Morell St,3,casa,460000,13,3046,2,2,224,3,1950,-37702,144.9507
Ashwood,1/136 High Street Rd,3,casa,761000,12.2,3147,2,4,400,94,1950,-37.8675,145106
Sunshine,138 Devonshire Rd,4,casa,726000,12.6,3020,2,0,567,95,1950,-37.79655,
Oak Park,33 Vincent St,4,casa,,11.5,3046,2,2,694,95,1950,-37.7202,144.9161
Bentleigh East,20 Patricia St,4,casa,,13.9,3165,2,2,602,96,1950,-37925,145.0772
Pascoe Vale,26 Shanley St,3,casa,,9.9,3044,2,2,504,98,1950,-37.7194,144.9418
Altona,104 Maidstone St,2,casa,857000,13.8,3018,2,1,675,100,1950,-37.8653,144.8129
Preston,198 Raglan St,2,casa,910000,8.8,3072,2,1,352,103,1950,-37.7495,145.0092
Niddrie,87 Hotham Rd,2,casa,657000,11.2,3042,2,1,268,104,1950,-37.7343,144.8783
Pascoe Vale,62 Devon Rd,3,casa,755000,9.9,3044,2,2,294,110,1950,-37.72598,
Ivanhoe,1/34 Edwin St,3,casa,785000,7.9,3079,2,0,399,110,1950,-37.7551,145.05
Reservoir,86 Hickford St,3,casa,651000,11.2,3073,2,3,649,114,1950,-37705,145.0216
Fawkner,18 Pitt St,4,casa,635000,12.4,3060,2,2,567,116,1950,-37.7102,144.9703
Mont Albert,47 Zetland Rd,3,casa,1564000,11.8,3127,2,2,640,117,1950,-37.8173,145.1123
Preston,67 Regent St,3,casa,875000,8.8,3072,2,1,650,119,1950,-37.7302,144998
Kew East,136 Kilby Rd,3,casa,1402000,7.5,3102,2,2,422,120,1950,-37.7927,145.05256
Hawthorn East,66 Roseberry St,3,casa,1865000,7.5,3123,2,2,431,120,1950,-37.8269,145.0496
Hawthorn East,66 Roseberry St,3,casa,1825000,7.5,3123,2,2,431,120,1950,-37.8269,145.0496
