distrito,latitude,longitude,tipo_de_quarto,preco,numero_minimo_noites,numero_comentarios,numero_de_reservas,disponibilidade_anual
Brooklyn,40.68864,-73.9213,Entire home/apt,75,2,36,1,0
Manhattan,40.8061,-73.9662,Entire home/apt,79,5,9,1,0
Manhattan,40.789809999999996,-73.97518000000001,Entire home/apt,104,30,27,8,137
Brooklyn,40.7133,-73.94601999999999,Entire home/apt,280,1,124,1,359
Manhattan,40.724109999999996,-73.99372,Private room,80,4,131,1,34
Brooklyn,40.71171,-73.96101,Entire home/apt,136,30,50,1,0
Manhattan,40.78024,-73.97941999999999,Entire home/apt,550,4,17,1,201
Brooklyn,40.643609999999995,-73.96821,Entire home/apt,190,2,95,2,349
Manhattan,40.72915,-73.98565,Entire home/apt,199,2,29,1,361
Queens,40.74409,-73.89864,Private room,75,2,25,1,365
Manhattan,40.72853,-73.98619000000001,Private room,100,1,212,1,278
Manhattan,40.78808,-73.9754,Entire home/apt,125,1,15,1,362
Brooklyn,40.68585,-73.90686,Private room,75,2,12,1,0
Manhattan,40.80355,-73.95227,Private room,99,2,30,1,24
Brooklyn,40.72887,-73.95163000000001,Private room,35,30,5,1,97
Queens,40.75909,-73.93217,Private room,51,1,165,1,361
Queens,40.77787,-73.91471999999999,Entire home/apt,188,2,260,1,312
Manhattan,40.72545,-73.99492,Entire home/apt,90,7,2,1,0
Brooklyn,40.68034,-73.9615,Entire home/apt,279,3,9,1,0
Manhattan,40.730779999999996,-74.0104,Entire home/apt,350,4,9,1,13
Manhattan,40.79255,-73.93842,Private room,125,2,59,1,360
Brooklyn,40.62733,-73.96101999999999,Private room,85,4,38,3,81
Queens,40.737320000000004,-73.90168,Private room,48,20,33,2,297
Queens,40.74033,-73.89921,Private room,56,28,14,2,310
Brooklyn,40.649190000000004,-73.96143000000001,Private room,84,2,68,3,362
Manhattan,40.824529999999996,-73.94923,Entire home/apt,155,1,123,2,170
Manhattan,40.73494,-73.98751,Entire home/apt,250,365,0,1,365
Manhattan,40.71702,-73.99566,Entire home/apt,300,5,31,1,278
Brooklyn,40.709509999999995,-73.96262,Entire home/apt,140,1,1,1,0
Manhattan,40.76142,-73.96086,Private room,120,7,19,2,245
Brooklyn,40.71188,-73.95155,Entire home/apt,99,2,198,2,89
Manhattan,40.73158,-73.99254,Entire home/apt,240,7,19,1,158
Manhattan,40.83399,-73.94474,Entire home/apt,72,7,27,1,73
Queens,40.767920000000004,-73.92228,Private room,45,4,68,1,0
Staten Island,40.62947,-74.13378,Entire home/apt,250,30,1,3,0
Manhattan,40.73254,-74.00466999999999,Private room,100,2,48,1,78
Manhattan,40.7529,-73.97094,Entire home/apt,175,5,116,1,299
Manhattan,40.72694,-73.98304,Entire home/apt,200,5,10,1,0
Queens,40.69015,-73.77472,Private room,59,1,8,5,359
Manhattan,40.70939,-74.00121,Entire home/apt,420,2,285,1,294
Brooklyn,40.72149,-73.96174,Private room,120,3,142,1,37
Manhattan,40.746109999999994,-73.99209,Entire home/apt,295,30,3,1,235
Brooklyn,40.72079,-73.95640999999999,Entire home/apt,200,120,12,1,306
Brooklyn,40.701879999999996,-73.92275,Private room,48,7,61,1,0
Manhattan,40.764759999999995,-73.99011,Entire home/apt,99,2,55,1,182
Brooklyn,40.7257,-73.94181,Entire home/apt,129,30,8,52,344
Manhattan,40.73082,-73.98693,Entire home/apt,160,2,44,2,0
Brooklyn,40.67477,-73.97404,Entire home/apt,142,4,41,1,151
Queens,40.767520000000005,-73.9273,Private room,120,3,12,2,365
Manhattan,40.71239,-74.0162,Entire home/apt,400,1000,0,1,362
Brooklyn,40.68572,-73.9641,Entire home/apt,130,7,26,1,182
Manhattan,40.81606,-73.94363,Shared room,85,3,38,1,157
Brooklyn,40.69017,-73.95756999999999,Entire home/apt,600,1,48,1,89
Manhattan,40.82184,-73.95031,Private room,69,5,152,2,110
Brooklyn,40.70863,-73.95543,Entire home/apt,150,3,1,1,0
Manhattan,40.730509999999995,-73.9814,Entire home/apt,10,30,0,4,137
Brooklyn,40.69385,-73.95223,Private room,87,1,4,1,12
Manhattan,40.7513,-73.97239,Private room,249,3,1,2,87
Brooklyn,40.70537,-73.92975,Private room,65,4,142,1,115
Brooklyn,40.64308,-73.9077,Entire home/apt,175,3,158,1,317
Manhattan,40.839420000000004,-73.93855,Private room,79,5,112,3,1
Manhattan,40.72391,-73.99879,Private room,194,2,141,2,340
Manhattan,40.71915,-73.99309000000001,Entire home/apt,150,3,19,1,9
Brooklyn,40.7086,-73.94715,Entire home/apt,241,2,1,1,0
Manhattan,40.81307,-73.93854,Private room,80,1,73,1,309
Brooklyn,40.6848,-73.92505,Entire home/apt,120,4,72,1,284
Manhattan,40.78013,-73.95082,Entire home/apt,155,4,13,1,0
Manhattan,40.7338,-74.00328,Entire home/apt,150,7,40,1,0
Manhattan,40.76866,-73.9536,Entire home/apt,140,6,36,1,71
Brooklyn,40.63205,-73.94587,Entire home/apt,90,1,5,1,361
Brooklyn,40.68468,-73.99145,Entire home/apt,150,3,94,3,250
Brooklyn,40.68019,-73.93042,Entire home/apt,135,2,127,1,354
Brooklyn,40.67179,-73.97248,Entire home/apt,140,2,45,1,31
Brooklyn,40.68656,-73.95348,Entire home/apt,130,3,220,2,0
Manhattan,40.77118,-73.9527,Private room,150,2,121,1,225
Brooklyn,40.66623,-73.98217,Entire home/apt,115,3,185,1,163
Brooklyn,40.684709999999995,-73.95325,Entire home/apt,130,3,229,2,259
Manhattan,40.72831,-73.9987,Entire home/apt,380,6,29,1,365
Brooklyn,40.70773,-73.94144,Entire home/apt,115,20,1,1,0
Manhattan,40.8117,-73.9555,Entire home/apt,125,2,21,1,363
Brooklyn,40.70045,-73.93831999999999,Private room,65,5,1,1,169
Queens,40.75238,-73.87746,Entire home/apt,110,9,11,1,362
Brooklyn,40.68708,-73.95125999999999,Private room,31,6,41,3,55
Brooklyn,40.68005,-73.93911,Entire home/apt,135,3,173,2,277
Manhattan,40.731190000000005,-74.00615,Entire home/apt,200,3,20,1,0
Brooklyn,40.68553,-73.94466,Private room,212,3,1,3,109
Brooklyn,40.70617,-73.93760999999999,Shared room,40,1,34,3,75
Manhattan,40.76364,-73.99465,Entire home/apt,80,30,12,7,365
Brooklyn,40.64233,-73.95655,Entire home/apt,95,2,147,3,275
Manhattan,40.765440000000005,-73.9882,Entire home/apt,185,30,7,39,347
Brooklyn,40.681940000000004,-73.94068,Entire home/apt,100,1,59,4,165
Manhattan,40.74096,-73.9927,Entire home/apt,1200,1,0,1,0
Brooklyn,40.72531,-73.94221999999999,Entire home/apt,149,30,9,52,341
Manhattan,40.73089,-74.00301999999999,Private room,139,1,203,2,32
Manhattan,40.72866,-74.00095,Entire home/apt,226,3,25,1,80
Brooklyn,40.68978,-73.93751,Entire home/apt,74,2,189,2,131
Manhattan,40.73433,-74.0036,Entire home/apt,195,5,52,1,0
Brooklyn,40.6526,-73.94999,Entire home/apt,104,59,48,1,122
Manhattan,40.72047,-74.00049,Entire home/apt,275,2,6,1,5
Manhattan,40.7854,-73.97368,Private room,310,4,12,1,358
Manhattan,40.72379,-73.98826,Entire home/apt,145,29,3,1,35
Staten Island,40.61135,-74.06356,Entire home/apt,75,3,19,1,258
Brooklyn,40.710840000000005,-73.94861,Entire home/apt,99,2,201,2,106
Manhattan,40.76464,-73.98749000000001,Entire home/apt,250,6,79,1,137
Manhattan,40.79221,-73.97476,Entire home/apt,104,30,24,8,57
Manhattan,40.73681,-73.98366,Entire home/apt,250,5,5,1,358
Manhattan,40.76493,-73.98652,Entire home/apt,150,30,18,39,340
Manhattan,40.76703,-73.98874,Entire home/apt,195,30,17,39,333
Manhattan,40.766709999999996,-73.98666,Entire home/apt,350,30,14,39,327
Brooklyn,40.71346,-73.93883000000001,Private room,75,1,23,1,0
Brooklyn,40.661390000000004,-73.96027,Private room,80,31,28,1,167
Brooklyn,40.69143,-73.93933,Entire home/apt,96,2,14,1,50
Manhattan,40.740109999999994,-73.98185,Entire home/apt,200,1,0,1,0
Manhattan,40.79053,-73.94398000000001,Private room,90,3,139,1,293
Queens,40.76359,-73.90586,Private room,79,1,274,3,308
Manhattan,40.81326,-73.96181,Private room,220,1,0,1,365
Brooklyn,40.711079999999995,-73.96318000000001,Entire home/apt,224,31,14,1,219
Queens,40.59684,-73.79449,Private room,35,2,201,2,88
Queens,40.763940000000005,-73.92022,Private room,70,7,34,1,140
Brooklyn,40.66359,-73.95235,Private room,85,1,40,10,293
Manhattan,40.8174,-73.94629,Entire home/apt,110,30,128,2,314
Brooklyn,40.68208,-73.9104,Private room,65,3,2,2,365
Queens,40.72509,-73.89686999999999,Entire home/apt,200,4,24,2,157
Manhattan,40.7157,-73.99183000000001,Entire home/apt,249,31,6,1,365
Brooklyn,40.667590000000004,-73.88584,Private room,62,3,52,8,361
Bronx,40.88296,-73.86264,Private room,50,1,19,1,311
Brooklyn,40.66907,-73.88493000000001,Private room,62,3,48,8,340
Brooklyn,40.72668,-73.95555,Private room,50,2,13,3,282
Manhattan,40.74722,-73.97734,Private room,55,1,0,1,0
Manhattan,40.80339,-73.95167,Private room,71,2,64,2,18
Manhattan,40.7977,-73.93754,Private room,75,1,37,1,139
Brooklyn,40.712509999999995,-73.947,Private room,115,3,146,1,277
Brooklyn,40.7138,-73.96251,Private room,82,2,144,1,0
Brooklyn,40.66874,-73.88548,Private room,75,3,34,8,341
Manhattan,40.819759999999995,-73.94029,Private room,60,3,101,1,340
Manhattan,40.74072,-74.00438,Entire home/apt,200,7,11,1,11
Brooklyn,40.7337,-73.95427,Private room,90,1,0,1,0
Brooklyn,40.68242,-73.97904,Entire home/apt,215,3,59,1,356
Manhattan,40.767959999999995,-73.98601,Private room,100,2,244,1,52
Queens,40.7672,-73.92799000000001,Private room,38,30,7,1,137
Brooklyn,40.69383,-73.90836999999999,Entire home/apt,159,3,11,4,77
Brooklyn,40.65763,-73.96029,Private room,64,2,108,2,296
Brooklyn,40.64928,-73.97538,Entire home/apt,125,15,53,1,5
Manhattan,40.7189,-73.99176999999999,Entire home/apt,120,4,182,1,72
Manhattan,40.75224,-73.99486999999999,Private room,76,3,164,1,27
Manhattan,40.77532,-73.97952,Private room,175,2,4,1,0
Brooklyn,40.726459999999996,-73.95799,Private room,110,5,7,1,300
Brooklyn,40.73487,-73.95789,Private room,75,1,69,2,49
Manhattan,40.85287,-73.93794,Private room,80,2,28,2,327
Brooklyn,40.72124,-73.93673000000001,Private room,110,4,2,1,0
Brooklyn,40.70833,-73.95395,Private room,89,1,214,2,354
Brooklyn,40.70306,-73.92526,Entire home/apt,110,3,23,1,67
Manhattan,40.71906,-73.9845,Private room,96,1,274,1,145
Manhattan,40.81027,-73.94639000000001,Entire home/apt,75,5,31,2,0
Manhattan,40.72182,-73.99625,Entire home/apt,185,3,65,1,106
Brooklyn,40.63304,-73.95625,Entire home/apt,49,2,23,1,262
Manhattan,40.74035,-74.00615,Entire home/apt,440,3,6,1,70
Brooklyn,40.6776,-73.93504,Entire home/apt,220,7,18,2,156
Manhattan,40.70758,-74.00799,Private room,99,4,11,2,365
Manhattan,40.7474,-73.97847,Private room,85,1,135,1,15
Brooklyn,40.713159999999995,-73.95648,Entire home/apt,98,7,7,1,0
Brooklyn,40.66231,-73.95394,Private room,84,1,60,10,302
Brooklyn,40.66182,-73.95338000000001,Private room,65,1,38,10,239
Brooklyn,40.71985,-73.94015,Entire home/apt,160,2,19,1,0
Brooklyn,40.67629,-73.97654,Private room,115,3,200,1,256
Manhattan,40.79377,-73.9361,Private room,59,14,30,2,36
Manhattan,40.75622,-73.9728,Private room,119,2,27,1,325
Brooklyn,40.67394,-73.92399999999999,Entire home/apt,120,2,92,1,311
Manhattan,40.790859999999995,-73.96683,Entire home/apt,439,5,79,2,154
Manhattan,40.77084,-73.95810999999999,Private room,99,1,20,2,278
Brooklyn,40.72716,-73.94971,Entire home/apt,199,2,25,1,5
Brooklyn,40.7179,-73.95103,Private room,99,1,340,2,263
Queens,40.76135,-73.91571,Private room,195,3,231,1,304
Brooklyn,40.72076,-73.95614,Entire home/apt,180,30,183,1,0
Queens,40.76081,-73.93163,Private room,100,20,52,1,182
Brooklyn,40.68972,-73.93073000000001,Entire home/apt,115,2,210,2,106
Brooklyn,40.65769,-73.96161,Entire home/apt,115,30,2,1,0
Manhattan,40.709109999999995,-73.99685,Entire home/apt,180,3,18,1,72
Bronx,40.82138,-73.87603,Private room,45,3,53,1,249
Manhattan,40.72105,-73.98519,Entire home/apt,300,2,65,1,350
Manhattan,40.76358,-73.95895,Entire home/apt,90,80,20,1,203
Manhattan,40.79858,-73.93585,Private room,95,1,0,1,0
Queens,40.74609,-73.91405999999999,Entire home/apt,140,2,40,1,20
Manhattan,40.78031,-73.94653000000001,Entire home/apt,123,5,14,1,0
Manhattan,40.76708,-73.986,Entire home/apt,200,2,119,1,216
Queens,40.76549,-73.92934,Private room,100,3,4,2,364
Brooklyn,40.70982,-73.9642,Entire home/apt,250,3,144,1,128
Brooklyn,40.71973,-73.96070999999999,Private room,85,1,221,3,206
Manhattan,40.741479999999996,-73.98304,Entire home/apt,100,3,3,1,0
Manhattan,40.765,-73.98904,Entire home/apt,109,2,26,1,139
Brooklyn,40.72569,-73.94054,Entire home/apt,159,30,6,52,310
Manhattan,40.73236,-73.9992,Entire home/apt,260,5,13,1,167
Manhattan,40.74188,-73.99729,Entire home/apt,555,3,111,1,191
Manhattan,40.80012,-73.94086999999999,Private room,87,2,235,1,23
Bronx,40.84367,-73.91718,Private room,43,2,11,1,338
Manhattan,40.77219,-73.95073000000001,Entire home/apt,199,1,29,5,339
Manhattan,40.80247,-73.94530999999999,Private room,90,2,17,3,177
Brooklyn,40.69194,-73.95952,Entire home/apt,195,3,78,1,312
Brooklyn,40.66946,-73.95008,Entire home/apt,185,3,115,3,314
Manhattan,40.78952,-73.98097,Entire home/apt,400,7,19,1,46
Manhattan,40.743140000000004,-73.9957,Entire home/apt,200,2,144,1,263
Manhattan,40.79692,-73.94434,Private room,100,1,41,2,355
Manhattan,40.77648,-73.96126,Entire home/apt,225,4,10,1,348
Brooklyn,40.672470000000004,-73.93616,Entire home/apt,450,1,9,3,364
Brooklyn,40.69696,-73.93576999999999,Private room,80,3,112,2,0
Brooklyn,40.693659999999994,-73.92281,Entire home/apt,89,4,123,2,18
Manhattan,40.727140000000006,-73.98397,Entire home/apt,179,4,127,1,17
Manhattan,40.74563,-73.99325,Private room,90,3,6,1,11
Queens,40.748490000000004,-73.94946999999999,Entire home/apt,275,7,0,1,0
Brooklyn,40.70942,-73.95302,Private room,35,2,3,2,0
Queens,40.764509999999994,-73.92942,Private room,86,2,107,1,0
Queens,40.74244,-73.91676,Entire home/apt,95,1,41,2,177
Manhattan,40.78448,-73.97386,Private room,116,1,43,1,0
Manhattan,40.76421,-73.99115,Private room,80,5,62,2,23
Manhattan,40.731,-73.98427,Entire home/apt,110,1,233,2,17
Queens,40.689679999999996,-73.85219000000001,Private room,29,2,386,3,50
Manhattan,40.802659999999996,-73.94728,Entire home/apt,200,60,74,1,233
Manhattan,40.78852,-73.96746,Entire home/apt,390,5,108,2,156
Manhattan,40.71078,-74.01623000000001,Shared room,55,1,205,1,326
Queens,40.71697,-73.83396,Shared room,75,5,63,5,19
Brooklyn,40.67528,-73.95741,Private room,75,1,0,1,58
Brooklyn,40.68931,-73.95548000000001,Entire home/apt,120,7,39,2,50
Manhattan,40.74881,-73.97234,Private room,143,2,37,1,364
Manhattan,40.764559999999996,-73.98233,Entire home/apt,250,3,1,1,0
Brooklyn,40.71284,-73.93965,Private room,99,3,19,2,310
Manhattan,40.80395,-73.95519,Entire home/apt,150,3,50,1,152
Brooklyn,40.690090000000005,-73.95314,Private room,55,10,20,1,184
Brooklyn,40.69169,-73.9603,Entire home/apt,175,2,85,1,287
Brooklyn,40.70818,-73.92201999999999,Private room,69,1,142,3,329
Manhattan,40.71481,-74.00934000000001,Entire home/apt,184,4,22,1,12
Brooklyn,40.706579999999995,-73.96759,Entire home/apt,145,2,6,1,0
Manhattan,40.721309999999995,-73.98527,Private room,100,3,210,1,256
Brooklyn,40.65987,-73.95076,Private room,44,5,79,3,251
Brooklyn,40.72495,-73.95111999999999,Private room,70,3,0,1,0
Brooklyn,40.68273,-73.95437,Entire home/apt,185,1,0,1,0
Manhattan,40.72311,-73.99476,Entire home/apt,225,3,10,1,0
Manhattan,40.78277,-73.95164,Entire home/apt,199,2,2,1,0
Manhattan,40.81157,-73.95335,Private room,60,1,57,1,301
Manhattan,40.776309999999995,-73.97953000000001,Entire home/apt,175,3,258,1,235
Manhattan,40.7312,-73.98857,Entire home/apt,199,5,4,1,0
Brooklyn,40.70683,-73.95375,Private room,65,1,10,1,73
Brooklyn,40.71295,-73.93874,Entire home/apt,190,2,11,1,331
Brooklyn,40.67204,-73.95147,Entire home/apt,107,3,143,1,23
Manhattan,40.72878,-73.97854,Entire home/apt,150,1,26,1,0
Staten Island,40.53884,-74.19826,Entire home/apt,700,7,0,1,0
Bronx,40.863170000000004,-73.82494,Private room,75,2,32,13,363
Brooklyn,40.7187,-73.95133,Private room,45,2,14,2,36
Brooklyn,40.67749,-73.98031,Entire home/apt,179,2,15,1,0
Queens,40.73747,-73.9248,Entire home/apt,110,1,92,2,147
Brooklyn,40.71875,-73.94935,Entire home/apt,245,2,14,1,65
Manhattan,40.763909999999996,-73.9782,Entire home/apt,799,6,40,1,365
Manhattan,40.815690000000004,-73.96058000000001,Private room,100,2,12,1,252
Brooklyn,40.683659999999996,-73.95009,Private room,61,1,71,15,314
Manhattan,40.74107,-73.98487,Entire home/apt,475,1,0,1,0
Brooklyn,40.7001,-73.99183000000001,Entire home/apt,275,5,16,1,12
Brooklyn,40.68585,-73.97015999999999,Entire home/apt,250,4,134,1,222
Brooklyn,40.70498,-73.92868,Entire home/apt,120,3,2,1,0
Brooklyn,40.67191,-73.93997,Entire home/apt,135,3,190,1,267
Manhattan,40.732459999999996,-74.00215,Entire home/apt,199,10,4,1,3
Brooklyn,40.69023,-73.94628,Private room,75,1,19,5,289
Brooklyn,40.69096,-73.94613000000001,Private room,75,7,30,5,216
Manhattan,40.80126,-73.9454,Private room,75,3,22,3,177
Manhattan,40.817479999999996,-73.94539,Private room,140,1,0,1,365
Manhattan,40.741659999999996,-73.99892,Private room,90,30,83,1,282
Manhattan,40.8145,-73.94962,Private room,80,1,1,1,0
Brooklyn,40.71261,-73.94154,Entire home/apt,115,2,2,1,0
Manhattan,40.82519,-73.9453,Private room,60,1,93,3,358
Manhattan,40.726440000000004,-73.9923,Entire home/apt,175,2,25,1,273
Brooklyn,40.68909,-73.9173,Entire home/apt,125,2,240,2,242
Manhattan,40.73689,-73.98451,Entire home/apt,185,1,80,1,0
Queens,40.71594,-73.82264,Private room,56,5,80,2,298
Brooklyn,40.69048,-73.92193,Private room,64,1,336,1,133
Brooklyn,40.71454,-73.94965,Entire home/apt,300,2,10,1,214
Manhattan,40.72569,-73.99226999999999,Entire home/apt,455,30,93,2,332
Brooklyn,40.64738,-73.89163,Private room,37,5,54,5,353
Brooklyn,40.71618,-73.94189,Entire home/apt,193,3,164,2,256
Brooklyn,40.69493,-73.94161,Private room,53,3,35,1,113
Manhattan,40.74386,-73.99540999999999,Entire home/apt,161,2,8,1,0
Manhattan,40.85557,-73.93641,Entire home/apt,99,7,3,1,0
Manhattan,40.7221,-73.98356,Entire home/apt,420,1,53,3,250
Manhattan,40.72018,-73.98839,Entire home/apt,92,2,0,1,0
Manhattan,40.73679,-73.98177,Entire home/apt,195,30,104,4,333
Brooklyn,40.68385,-73.92349,Private room,81,1,36,1,0
Manhattan,40.82557,-73.95514,Private room,65,7,9,2,332
Brooklyn,40.65083,-73.96101,Private room,70,3,3,1,188
Manhattan,40.73285,-73.98245,Entire home/apt,400,2,40,1,190
Brooklyn,40.717659999999995,-73.95634,Entire home/apt,170,3,61,1,190
Manhattan,40.729820000000004,-73.98532,Entire home/apt,175,2,53,2,0
Brooklyn,40.68135,-73.9046,Private room,41,3,7,1,0
Manhattan,40.80964,-73.94098000000001,Entire home/apt,149,4,35,1,16
Brooklyn,40.71216,-73.96274,Private room,87,3,85,2,38
Manhattan,40.73865,-73.9962,Entire home/apt,300,5,0,1,0
Manhattan,40.75,-73.99721,Entire home/apt,92,110,13,19,327
Brooklyn,40.69168,-73.932,Private room,85,2,0,1,0
Manhattan,40.73135,-73.98298,Entire home/apt,150,1,0,1,0
Brooklyn,40.71817,-73.96401,Entire home/apt,300,5,14,1,188
Manhattan,40.73196,-73.97932,Entire home/apt,139,5,27,1,0
Manhattan,40.74392,-73.9811,Private room,90,3,12,3,0
Manhattan,40.735440000000004,-73.97465,Private room,118,5,51,1,201
Manhattan,40.76547,-73.97729,Entire home/apt,295,2,0,1,0
Brooklyn,40.6784,-73.89362,Entire home/apt,125,1,319,1,357
Brooklyn,40.68674,-73.95392,Entire home/apt,122,7,122,2,364
Manhattan,40.76129,-73.96869000000001,Entire home/apt,280,3,21,1,98
Manhattan,40.7525,-73.96491999999999,Entire home/apt,215,4,130,2,270
Brooklyn,40.68897,-73.98765,Private room,89,90,47,1,365
Manhattan,40.82097,-73.93765,Private room,130,1,1,2,0
Brooklyn,40.70714,-73.9216,Entire home/apt,201,2,8,1,177
Brooklyn,40.644690000000004,-73.9469,Private room,119,2,23,1,311
Manhattan,40.723690000000005,-73.9753,Entire home/apt,103,2,29,1,55
Brooklyn,40.66516,-73.9794,Private room,72,2,166,1,78
Manhattan,40.729690000000005,-73.98151,Entire home/apt,169,5,9,1,0
Manhattan,40.71417,-74.00678,Entire home/apt,240,3,60,1,348
Brooklyn,40.67522,-73.99978,Entire home/apt,180,2,29,1,45
Brooklyn,40.68489,-73.95473,Entire home/apt,150,7,108,2,359
Manhattan,40.80738,-73.95855,Entire home/apt,120,5,4,1,0
Brooklyn,40.693220000000004,-73.94581,Entire home/apt,345,3,181,2,213
Brooklyn,40.6889,-73.92469,Entire home/apt,95,3,134,1,281
Manhattan,40.775929999999995,-73.94927,Entire home/apt,550,1,0,1,0
Manhattan,40.82597,-73.95102,Entire home/apt,150,5,29,1,260
Manhattan,40.72485,-73.98349,Private room,95,3,97,1,11
Manhattan,40.76254,-73.98711999999999,Private room,90,1,61,1,316
Brooklyn,40.67143,-73.94929,Private room,175,5,0,1,359
Manhattan,40.72335,-73.98549,Entire home/apt,225,3,10,1,0
Manhattan,40.769059999999996,-73.9517,Entire home/apt,240,5,6,1,0
Manhattan,40.72394,-73.98940999999999,Entire home/apt,150,4,43,1,188
Manhattan,40.84278,-73.93725,Private room,44,3,79,1,191
Manhattan,40.72898,-73.98051,Private room,1700,1,0,1,0
Manhattan,40.78618,-73.97339000000001,Entire home/apt,299,4,38,1,3
Brooklyn,40.68864,-73.94166,Entire home/apt,120,1,93,1,0
Manhattan,40.75562,-73.99736,Entire home/apt,525,5,42,1,80
Manhattan,40.77585,-73.95566,Entire home/apt,600,3,46,1,210
Brooklyn,40.71338,-73.96833000000001,Private room,88,1,220,2,100
Manhattan,40.80491,-73.94752,Entire home/apt,139,5,0,1,0
Manhattan,40.74386,-74.00106,Entire home/apt,200,2,2,1,0
Manhattan,40.7582,-73.96692,Entire home/apt,100,2,19,1,0
Manhattan,40.72838,-74.00461999999999,Entire home/apt,209,2,7,1,265
Brooklyn,40.682829999999996,-73.99813,Entire home/apt,240,3,14,1,199
Brooklyn,40.68185,-73.95336,Entire home/apt,90,7,8,2,301
Queens,40.752829999999996,-73.92915,Private room,73,2,97,3,359
Manhattan,40.74599,-73.99775,Private room,90,6,4,1,0
Manhattan,40.76316,-73.99358000000001,Entire home/apt,200,2,6,1,20
Brooklyn,40.67593,-73.95885,Entire home/apt,94,20,46,1,0
Manhattan,40.71845,-73.99325999999999,Entire home/apt,145,1,0,1,0
Manhattan,40.7366,-73.98703,Entire home/apt,199,2,240,1,152
Brooklyn,40.68305,-73.9419,Entire home/apt,150,1,0,1,0
Manhattan,40.7789,-73.95311,Private room,85,3,134,1,108
Manhattan,40.74855,-73.977,Entire home/apt,195,4,31,1,78
Manhattan,40.72934,-74.00075,Entire home/apt,173,5,143,1,144
Brooklyn,40.72589,-73.94055,Entire home/apt,159,30,5,52,346
Brooklyn,40.71216,-73.96615,Private room,85,3,92,1,123
Brooklyn,40.684129999999996,-73.92693,Entire home/apt,120,3,207,1,237
Manhattan,40.75669,-73.9666,Entire home/apt,225,3,1,1,0
Brooklyn,40.71394,-73.94193,Entire home/apt,175,2,111,2,108
Manhattan,40.75375,-73.96556,Private room,130,2,128,1,294
Manhattan,40.733109999999996,-74.00761,Entire home/apt,249,60,0,1,363
Brooklyn,40.64448,-73.89222,Private room,38,5,72,5,349
Brooklyn,40.70343,-73.91343,Private room,53,1,38,1,312
Manhattan,40.76296,-73.98640999999999,Private room,125,4,108,1,285
Manhattan,40.72617,-74.00140999999999,Entire home/apt,245,1,0,1,0
Brooklyn,40.702890000000004,-73.98583,Entire home/apt,150,9,0,1,0
Brooklyn,40.64674,-73.89501,Private room,32,5,85,5,155
Manhattan,40.754059999999996,-73.99376,Entire home/apt,160,3,158,1,188
Brooklyn,40.66173,-73.95382,Entire home/apt,175,1,0,1,0
Brooklyn,40.70711,-73.94457,Private room,40,7,0,1,331
Brooklyn,40.70565,-73.92254,Private room,58,1,236,3,350
Brooklyn,40.68166,-73.94325,Entire home/apt,149,2,20,1,355
Manhattan,40.750659999999996,-74.00376999999999,Entire home/apt,200,3,35,1,0
Brooklyn,40.68285,-73.95111999999999,Entire home/apt,100,4,10,1,0
Brooklyn,40.68442,-73.95639,Private room,50,2,6,1,0
Brooklyn,40.69181,-73.95366,Entire home/apt,97,5,44,1,66
Manhattan,40.74793,-74.00690999999999,Private room,84,2,143,1,311
Brooklyn,40.68049,-73.97301999999999,Entire home/apt,275,4,19,2,205
Manhattan,40.76981,-73.95812,Entire home/apt,99,2,249,1,172
Brooklyn,40.72587,-73.94122,Entire home/apt,70,5,2,1,26
Brooklyn,40.72749,-73.94201,Entire home/apt,149,30,7,52,340
Manhattan,40.75463,-73.97062,Entire home/apt,399,5,33,1,36
Brooklyn,40.68374,-73.98558,Entire home/apt,145,3,266,1,224
Brooklyn,40.68323,-73.98643,Private room,200,2,0,1,365
Brooklyn,40.70505,-73.92281,Private room,59,1,238,3,320
Brooklyn,40.71863,-73.94575,Private room,70,3,30,1,364
Manhattan,40.73892,-73.98921999999999,Entire home/apt,249,4,26,1,281
Brooklyn,40.6406,-73.96195,Entire home/apt,70,4,26,1,81
Queens,40.73673,-73.92526,Private room,45,5,70,4,250
Manhattan,40.746759999999995,-74.00234,Private room,75,1,202,1,0
Brooklyn,40.71351,-73.94315999999999,Private room,70,6,1,2,0
Brooklyn,40.70727,-73.95459,Entire home/apt,159,1,15,2,194
Manhattan,40.76019,-73.99586,Entire home/apt,499,4,8,1,0
Brooklyn,40.70561,-73.92515,Private room,55,1,227,3,341
Manhattan,40.721470000000004,-73.98806,Private room,228,1,2,2,365
Brooklyn,40.64913,-73.92525,Private room,67,5,17,5,308
Manhattan,40.72745,-73.98344,Private room,119,3,1,1,0
Manhattan,40.7706,-73.98919000000001,Entire home/apt,189,1,7,1,0
Manhattan,40.77785,-73.9454,Entire home/apt,350,1,0,1,0
Brooklyn,40.68396,-73.98914,Entire home/apt,450,30,14,1,1
Brooklyn,40.67814,-73.92375,Private room,45,29,12,3,337
Manhattan,40.758759999999995,-73.96854,Entire home/apt,175,30,2,1,342
Brooklyn,40.67801,-73.96106,Entire home/apt,83,7,2,1,0
Brooklyn,40.685159999999996,-73.97461,Entire home/apt,120,1,2,1,0
Brooklyn,40.67138,-73.96058000000001,Private room,35,30,7,2,318
Manhattan,40.810559999999995,-73.943,Entire home/apt,140,2,322,1,258
