bairro,endereco,quartos,tipo,preco,distancia_aeroporto,cep,banheiros,vagas,area_terreno,area_construida,ano_construcao,latitude,longitude
Northcote,238 Victoria Rd,3,casa,1190000.0,5.5,3070.0,1,1,445.0,125.0,1920.0,-37.7652,145.0123
Williamstown North,18 Inglis St,3,casa,1225000.0,8.9,3016.0,1,1,311.0,126.0,1920.0,-37.8546,144.8762
Thornbury,152 Gooch St,3,casa,1427000.0,6.5,3071.0,1,1,275.0,127.0,1920.0,-37.7592,145.0105
Brunswick,7 Hall St,4,casa,1217000.0,5.2,3056.0,1,0,363.0,127.0,1920.0,-37.7621,144.9506
Coburg,41 Service St,3,casa,1130000.0,7.8,3058.0,1,2,735.0,127.0,1920.0,-37.7379,144.9623
Hughesdale,20 Dalston Rd,3,casa,1340000.0,13.0,3166.0,1,1,705.0,128.0,1920.0,-37.8994,145.0816
Yarraville,44 Severn St,3,casa,1930000.0,7.0,3013.0,1,4,902.0,129.0,1920.0,-37.8153,144.8796
Brunswick East,215 Weston St,3,casa,1495000.0,4.5,3057.0,1,1,259.0,130.0,1920.0,-37.7762,144.9755
Newport,60 Speight St,3,casa,891500.0,8.4,3015.0,1,0,344.0,130.0,1920.0,-37.8424,144.8754
Camberwell,13 Smith Rd,3,casa,2177000.0,7.8,3124.0,1,2,635.0,130.0,1920.0,-37.8454,145.0707
West Footscray,29 Devonshire St,4,casa,710000.0,8.2,3012.0,1,1,255.0,131.0,1920.0,-37.7906,144.8687
Coburg,155 Nicholson St,3,casa,825000.0,7.8,3058.0,1,2,577.0,131.0,1920.0,-37.7459,144.9773
Northcote,83 Bastings St,3,casa,1300000.0,5.5,3070.0,1,1,328.0,135.0,1920.0,-37.7745,145.0045
Thornbury,144 Clarendon St,3,casa,1290000.0,6.5,3071.0,1,2,435.0,138.0,1920.0,-37.7607,145.0105
Yarraville,46 MacKay St,4,casa,1455000.0,7.0,3013.0,1,1,328.0,140.0,1920.0,-37.8145,144.89422
Brunswick,52 Evans St,3,casa,1650000.0,5.2,3056.0,1,2,495.0,141.0,1920.0,-37.7702,144.9672
St Kilda,1/5 Marine Pde,2,kitnet,1100000.0,6.1,3182.0,1,2,1458.0,141.0,1920.0,-37.8695,144.9763
Glen Iris,22 Wills St,3,casa,1456000.0,9.2,3146.0,1,2,504.0,142.0,1920.0,-37.8541,145.0544
Moonee Ponds,61 Steele St,4,casa,1361500.0,6.9,3039.0,1,2,453.0,145.0,1920.0,-37.7698,144.9336
Camberwell,29 Kalang Rd,4,casa,2015000.0,7.8,3124.0,1,4,772.0,145.0,1920.0,-37.8441,145.0806
Brunswick,28 Frederick St,3,casa,1510000.0,5.2,3056.0,1,0,325.0,150.0,1920.0,-37.7621,144.9595
Box Hill,35 Barkly St,3,casa,1760000.0,13.1,3128.0,1,2,689.0,152.0,1920.0,-37.82622,145.13008
Albion,48 Sydney St,3,casa,840000.0,13.9,3020.0,1,0,697.0,153.0,1920.0,-37.7809,144.8228
Ascot Vale,6 Munro St,3,casa,1435000.0,5.9,3032.0,1,1,450.0,155.0,1920.0,-37.77563,144.91475
Caulfield,30 Pyne St,4,casa,131000.0,8.9,3162.0,1,2,499.0,155.0,1920.0,-37.8864,145.0242
Ascot Vale,15 Mirams St,4,casa,1345000.0,5.9,3032.0,1,1,552.0,155.0,1920.0,-37.7769,144.9138
Brighton,18 Rooding St,3,casa,1635000.0,11.2,3186.0,1,2,366.0,156.0,1920.0,-37.9038,145.0001
Coburg,6 Younger St,4,casa,931000.0,7.8,3058.0,1,1,412.0,160.0,1920.0,-37.7432,144.9768
Carlton North,700 Rathdowne St,4,casa,2175000.0,3.2,3054.0,1,0,418.0,163.0,1920.0,-37.7808,144.9736
Kew,31 Miller Gr,3,casa,2310000.0,5.6,3101.0,1,2,782.0,175.0,1920.0,-37.8107,145.0219
St Kilda,3/33 Robe St,3,kitnet,1500000.0,6.1,3182.0,1,1,1669.0,176.0,1920.0,-37.8646,144.9786
Preston,38 Wilcox St,4,casa,920000.0,8.8,3072.0,1,1,396.0,184.0,1920.0,-37.7361,145.0093
Coburg,65 Victoria St,2,casa,930000.0,7.8,3058.0,1,0,275.0,106.2,1920.0,-37.74244,144.95757
Northcote,162 Bastings St,3,casa,2160000.0,5.5,3070.0,2,1,338.0,90.0,1920.0,-37.7757,145.0119
Thornbury,126 Keon St,3,casa,1265000.0,6.5,3071.0,2,2,397.0,97.0,1920.0,-37.7515,144.9857
Kingsville,22 Coronation St,4,casa,1336000.0,7.8,3012.0,2,1,343.0,109.0,1920.0,-37.8066,144.8811
Brunswick East,41 Barkly St,3,casa,1679000.0,4.5,3057.0,2,0,326.0,118.0,1920.0,-37.7776,144.9751
Preston,21 Gillingham St,3,casa,1162500.0,8.8,3072.0,2,2,463.0,123.0,1920.0,-37.7507,144.9921
Malvern East,29 MacGregor St,3,casa,1915000.0,11.2,3145.0,2,2,700.0,126.0,1920.0,-37.8807,145.0547
Seddon,32 Walter St,4,casa,970000.0,6.6,3011.0,2,1,149.0,127.0,1920.0,-37.8047,144.8948
Thornbury,126 Smith St,3,casa,1380000.0,6.5,3071.0,2,1,359.0,128.0,1920.0,-37.7565,144.9906
Richmond,52 Brighton St,2,casa,1506000.0,2.6,3121.0,2,1,220.0,131.0,1920.0,-37.8284,144.9989
Caulfield South,393 North Rd,3,casa,1200000.0,9.3,3162.0,2,2,494.0,135.0,1920.0,-37.9027,145.0322
Brighton,124 Cole St,4,casa,1761000.0,11.2,3186.0,2,3,615.0,135.0,1920.0,-37.8956,145.0026
Essendon,22 Tweedside St,3,casa,1460000.0,8.0,3040.0,2,1,605.0,138.0,1920.0,-37.7546,144.9042
Ascot Vale,52 Monash St,3,casa,1425000.0,5.9,3032.0,2,2,495.0,139.0,1920.0,-37.7821,144.9055
Kingsville,132 Coronation St,3,casa,1035000.0,7.8,3012.0,2,2,275.0,145.0,1920.0,-37.8118,144.8801
Ashburton,1/1 Nairn St,3,casa,1518000.0,11.0,3147.0,2,2,516.0,145.0,1920.0,-37.8675,145.0668
Essendon,211 Napier St,4,casa,1467000.0,8.0,3040.0,2,1,683.0,145.0,1920.0,-37.7439,144.9195
Ascot Vale,25 Geddes St,4,casa,950000.0,5.9,3032.0,2,1,298.0,147.0,1920.0,-37.7778,144.9131
Coburg,211 Bell St,2,casa,635000.0,7.8,3058.0,2,3,339.0,149.0,1920.0,-37.7404,144.9559
Brunswick,2 Chambers St,3,casa,1691500.0,5.2,3056.0,2,3,470.0,152.0,1920.0,-37.7788,144.9688
Pascoe Vale,109 Derby St,4,casa,970000.0,9.9,3044.0,2,1,535.0,154.0,1920.0,-37.7282,144.9462
Malvern East,1/380 Waverley Rd,3,casa,1670000.0,11.2,3145.0,2,1,375.0,155.0,1920.0,-37.8777,145.0608
Brunswick,113 Glenlyon Rd,4,casa,1320000.0,5.2,3056.0,2,1,281.0,156.0,1920.0,-37.7722,144.9681
Thornbury,11 Clarendon St,3,casa,1400000.0,6.5,3071.0,2,1,417.0,159.0,1920.0,-37.7595,145.0017
Ormond,15 Tyrone St,4,casa,1918000.0,11.8,3204.0,2,1,678.0,162.0,1920.0,-37.9065,145.0461
Ivanhoe,10 Abbotsford Gr,3,casa,1605000.0,7.9,3079.0,2,2,608.0,165.0,1920.0,-37.7702,145.0398
Murrumbeena,21 Ardyne St,4,casa,1610000.0,12.1,3163.0,2,2,660.0,167.0,1920.0,-37.8932,145.0681
Yarraville,109 Powell St,3,casa,1320000.0,7.0,3013.0,2,2,473.0,171.0,1920.0,-37.8217,144.8842
Brighton East,4a Marriage Rd,4,casa,1530000.0,10.7,3187.0,2,1,603.0,177.0,1920.0,-37.9187,145.0071
Northcote,42 Kellett St,3,casa,1760000.0,5.5,3070.0,2,2,403.0,180.0,1920.0,-37.7673,145.0081
Preston,370 Gilbert Rd,4,casa,930000.0,8.8,3072.0,2,2,604.0,180.0,1920.0,-37.7369,144.9905
Elsternwick,393 Kooyong Rd,3,casa,1625000.0,8.5,3185.0,2,2,447.0,181.0,1920.0,-37.8912,145.0138
Essendon,32 Vanberg Rd,4,casa,1670000.0,8.0,3040.0,2,1,291.0,183.0,1920.0,-37.7544,144.9325
Brunswick West,871 Park St,4,casa,1700000.0,5.9,3055.0,2,2,621.0,184.0,1920.0,-37.7764,144.9479
Elwood,6 Daley St,4,casa,2400000.0,7.7,3184.0,2,2,560.0,185.0,1920.0,-37.8822,144.9913
Newport,487 Melbourne Rd,8,casa,881000.0,8.4,3015.0,2,4,663.0,190.0,1920.0,-37.8385,144.8824
Brunswick West,542 Albion St,5,casa,1200000.0,5.9,3055.0,2,3,553.0,193.0,1920.0,-37.7576,144.9348
Carnegie,26 Railway Rd,4,casa,1667000.0,11.4,3163.0,2,2,615.0,193.0,1920.0,-37.89281,145.05312
Ascot Vale,125 Epsom Rd,4,casa,1100000.0,5.9,3032.0,2,5,559.0,195.0,1920.0,-37.7791,144.9136
Malvern East,38 MacGregor St,3,casa,1837000.0,11.2,3145.0,2,1,769.0,196.0,1920.0,-37.8799,145.0552
Oakleigh,12 Watsonia St,4,casa,1615000.0,14.0,3166.0,2,2,537.0,199.0,1920.0,-37.89524,145.09108
Ivanhoe,20 Locksley Rd,4,casa,2400000.0,7.9,3079.0,2,2,1252.0,201.0,1920.0,-37.7727,145.0484
Alphington,42 Shiers St,4,casa,1950000.0,6.4,3078.0,2,3,589.0,210.0,1920.0,-37.7719,145.0309
Camberwell,5 Cooloongatta Rd,3,casa,1800000.0,7.8,3124.0,2,0,584.0,213.0,1920.0,-37.8349,145.0758
Moonee Ponds,99 Eglinton St,4,casa,1940000.0,6.9,3039.0,2,3,675.0,228.0,1920.0,-37.76407,144.90469
Surrey Hills,63 Shepherd St,4,casa,1812500.0,11.2,3127.0,2,2,715.0,230.0,1920.0,-37.8325,145.1114
Northcote,25 Simpson St,4,casa,2340000.0,5.5,3070.0,2,3,824.0,231.0,1920.0,-37.7803,145.0063
Surrey Hills,18 Benson St,4,casa,2500000.0,11.2,3127.0,2,2,783.0,256.0,1920.0,-37.8181,145.0913
Malvern East,1 Villers Sq,4,casa,1580000.0,11.2,3145.0,2,1,504.0,260.0,1920.0,-37.8834,145.0635
Essendon,18 Lorraine St,4,casa,2355000.0,8.0,3040.0,2,3,715.0,273.0,1920.0,-37.7582,144.9128
Moonee Ponds,6 Robinson St,4,casa,1640000.0,6.9,3039.0,2,1,435.0,329.0,1920.0,-37.7601,144.9228
Kew,48 Malin St,4,casa,2600000.0,5.6,3101.0,2,0,320.0,186.36,1920.0,-37.81265,145.03824
Coburg,24 Florence St,5,casa,1790000.0,7.8,3058.0,3,2,635.0,108.0,1920.0,-37.75159,144.95926
Thornbury,22 Gooch St,3,casa,1235000.0,6.5,3071.0,3,1,288.0,133.0,1920.0,-37.7583,145.0025
Moonee Ponds,5 Bent St,4,casa,1445000.0,6.9,3039.0,3,2,384.0,178.0,1920.0,-37.7617,144.9272
Moonee Ponds,69 Aberfeldie St,4,casa,1780000.0,6.9,3039.0,3,2,615.0,201.0,1920.0,-37.7617,144.9052
Malvern East,12 Hilda St,4,casa,2200000.0,11.2,3145.0,3,2,567.0,215.0,1920.0,-37.8742,145.0614
Surrey Hills,226 Union Rd,5,casa,2200000.0,11.2,3127.0,3,2,735.0,235.0,1920.0,-37.8175,145.0987
Richmond,30 Highett St,4,casa,3001000.0,2.6,3121.0,3,1,544.0,241.0,1920.0,-37.8152,144.9922
Glen Iris,16 Flowerdale Rd,5,casa,2000000.0,9.2,3146.0,3,1,696.0,248.0,1920.0,-37.8563,145.0709
Glen Iris,11 Vincent St,4,casa,3400000.0,9.2,3146.0,3,2,856.0,265.0,1920.0,-37.8628,145.0436
Hampton,4 Bendigo St,4,casa,3200000.0,13.7,3188.0,3,3,760.0,325.0,1920.0,-37.9326,144.9997
Northcote,81 Mitchell St,5,casa,2700000.0,5.5,3070.0,3,3,490.0,331.0,1920.0,-37.7726,145.0048
Hawthorn,9 Power St,5,casa,3750000.0,4.6,3122.0,3,2,827.0,344.0,1920.0,-37.8144,145.0279
Ivanhoe,6 Fairy St,5,casa,2600000.0,7.9,3079.0,3,1,1006.0,411.0,1920.0,-37.7765,145.0427
Brunswick,129 Glenlyon Rd,3,casa,1652000.0,5.2,3056.0,1,2,506.0,196.8,1921.0,-37.77228,144.9694
Carnegie,1 Frogmore Rd,3,casa,1600000.0,11.4,3163.0,2,2,751.0,40.0,1923.0,-37.8945,145.0648
Toorak,684 Orrong Rd,4,casa,5500000.0,4.6,3142.0,4,5,877.0,332.0,1923.0,-37.8447,145.0134
Northcote,6 Brooke St,3,casa,1655000.0,5.5,3070.0,1,3,472.0,101.0,1924.0,-37.7765,145.0027
Box Hill,14 Collins St,4,casa,1670000.0,13.1,3128.0,2,2,590.0,231.0,1924.0,-37.8274,145.1242
Sunshine,29 Benjamin St,2,casa,611000.0,12.6,3020.0,1,2,204.0,77.0,1925.0,-37.7938,144.8321
Coburg,265 Bell St,2,casa,700000.0,7.8,3058.0,1,2,381.0,92.0,1925.0,-37.74,144.9516
West Footscray,8 Dongola Rd,3,casa,913000.0,8.2,3012.0,1,3,448.0,96.0,1925.0,-37.7911,144.8821
Preston,13 Patterson St,2,casa,790000.0,8.8,3072.0,1,1,266.0,100.0,1925.0,-37.7423,145.0105
West Footscray,1 Dongola Rd,3,casa,935000.0,8.2,3012.0,1,2,325.0,102.0,1925.0,-37.79681,144.88148
Sunshine,3 Lynch St,3,casa,715000.0,12.6,3020.0,1,2,558.0,104.0,1925.0,-37.7807,144.8341
Thornbury,46 Harold St,2,casa,1110000.0,6.5,3071.0,1,0,288.0,105.0,1925.0,-37.7564,144.9971
Camberwell,4 Range St,3,casa,2000000.0,7.8,3124.0,1,2,821.0,105.0,1925.0,-37.8459,145.0644
Sunshine,8 Station Pl,3,casa,880000.0,12.6,3020.0,1,3,463.0,107.0,1925.0,-37.7905,144.8359
West Footscray,45 Hansen St,3,casa,967000.0,8.2,3012.0,1,2,347.0,113.0,1925.0,-37.8067,144.8761
West Footscray,44 Clive St,3,casa,1151500.0,8.2,3012.0,1,2,536.0,113.0,1925.0,-37.7978,144.8743
Malvern East,23 Darling Rd,3,casa,1650000.0,11.2,3145.0,1,2,764.0,114.0,1925.0,-37.8814,145.0583
Brunswick,10 Bennie St,3,casa,1115000.0,5.2,3056.0,1,1,249.0,116.0,1925.0,-37.76687,144.96643
Oakleigh,94 Burlington St,3,casa,880000.0,14.0,3166.0,1,1,670.0,118.0,1925.0,-37.9033,145.1006
Carnegie,76 Oakleigh Rd,3,casa,1125000.0,11.4,3163.0,1,1,604.0,120.0,1925.0,-37.8993,145.0528
Coburg,60 Glengyle St,3,casa,1210000.0,7.8,3058.0,1,1,379.0,125.0,1925.0,-37.7544,144.9764
Brighton East,40 Hodder St,3,casa,1635000.0,10.7,3187.0,1,1,597.0,131.0,1925.0,-37.90638,145.02289
Fairfield,3 Gillies St,3,casa,1500000.0,5.8,3078.0,1,2,574.0,150.0,1925.0,-37.78296,145.02123
Coburg,212 Reynard St,4,casa,1075000.0,7.8,3058.0,1,4,531.0,187.0,1925.0,-37.7473,144.9528
Preston,78 Miller St,3,casa,1080000.0,8.8,3072.0,1,1,487.0,189.0,1925.0,-37.7511,144.9907
Caulfield South,22 Sycamore St,3,casa,1450000.0,9.3,3162.0,2,1,478.0,120.0,1925.0,-37.8893,145.0161
Preston,7 Leicester St,3,casa,1121000.0,8.8,3072.0,2,3,604.0,123.0,1925.0,-37.75048,145.00264
Caulfield South,131 Sycamore St,3,casa,1350000.0,9.3,3162.0,2,1,305.0,129.0,1925.0,-37.88991,145.02296
Preston,2 Esther St,2,casa,860000.0,8.8,3072.0,2,1,415.0,138.0,1925.0,-37.7481,145.0017
Brighton East,4 Vincent St,3,casa,1480000.0,10.7,3187.0,2,2,697.0,143.0,1925.0,-37.9269,145.0274
Newport,28 Agg St,4,casa,1230000.0,8.4,3015.0,2,1,402.0,146.0,1925.0,-37.89072,145.06658000000004
Box Hill,11 Howard St,3,casa,2080000.0,13.1,3128.0,2,2,693.0,158.0,1925.0,-37.82291,145.1217
Hughesdale,8 Bowmore St,4,casa,1745000.0,13.0,3166.0,2,1,547.0,185.0,1925.0,-37.9002,145.0768
Hampton,6 Earlsfield Rd,4,casa,2140000.0,13.7,3188.0,2,3,688.0,187.0,1925.0,-37.9319,145.0173
Hampton,18 Kanowna St,4,casa,2130000.0,13.7,3188.0,2,2,714.0,188.0,1925.0,-37.9446,145.0092
Maribyrnong,31 Monash St,4,casa,1030000.0,8.7,3032.0,2,1,573.0,196.0,1925.0,-37.7844,144.8876
Brighton,176 Were St,5,casa,1562500.0,11.2,3186.0,2,2,655.0,202.0,1925.0,-37.9264,145.0044
Carnegie,42 Margaret St,4,casa,1506000.0,11.4,3163.0,2,2,561.0,204.0,1925.0,-37.8934,145.0633
Preston,1 Bellarine St,4,casa,1400000.0,8.8,3072.0,2,2,559.0,217.0,1925.0,-37.7347,144.9966
Eaglemont,6 Ashby Gr,5,casa,1901000.0,10.3,3084.0,2,2,963.0,225.0,1925.0,-37.7674,145.0518
Glen Iris,20 Howitt St,4,casa,2376000.0,9.2,3146.0,2,2,652.0,230.0,1925.0,-37.8479,145.0557
Hampton,52 Service St,4,casa,2250000.0,13.7,3188.0,2,2,647.0,260.0,1925.0,-37.9407,145.0104
Glen Iris,3 Fairview Gr,5,casa,3365000.0,9.2,3146.0,2,2,1339.0,270.0,1925.0,-37.8649,145.0547
Toorak,28 Warra St,4,casa,2620000.0,4.6,3142.0,2,2,516.0,286.0,1925.0,-37.8398,145.0305
Hughesdale,3 Paget St,4,casa,2120000.0,13.0,3166.0,2,2,847.0,315.0,1925.0,-37.8927,145.0781
Brighton,64 North Rd,4,casa,2700000.0,11.2,3186.0,2,2,732.0,333.0,1925.0,-37.8987,144.9953
Hawthorn East,3 Jaques St,5,casa,2500000.0,7.5,3123.0,3,3,757.0,240.0,1925.0,-37.8176,145.0548
Hampton,54 Linacre Rd,4,casa,2000000.0,13.7,3188.0,3,4,615.0,248.0,1925.0,-37.9429,145.0072
Moonee Ponds,75 Scott St,5,casa,1900000.0,6.9,3039.0,3,2,646.0,261.0,1925.0,-37.7625,144.9074
Ascot Vale,8 Anderson St,5,casa,2100000.0,5.9,3032.0,3,3,468.0,274.0,1925.0,-37.7822,144.90651
Glen Iris,2 Vincent St,5,casa,3730000.0,9.2,3146.0,3,2,919.0,353.0,1925.0,-37.8637,145.0438
Surrey Hills,20 Everton Gr,5,casa,2630000.0,11.2,3127.0,3,2,777.0,362.0,1925.0,-37.8287,145.1054
Malvern,3 Mary St,4,casa,4525000.0,7.4,3144.0,4,2,716.0,159.0,1925.0,-37.8469,145.0377
Caulfield South,42 Poplar St,3,casa,1330000.0,9.3,3162.0,1,1,312.0,123.0,1926.0,-37.8893,145.0196
Brighton East,1 Alexander St,3,casa,1301000.0,10.7,3187.0,2,2,401.0,121.0,1926.0,-37.9062,145.0173
Bentleigh,43 Godfrey St,5,casa,1900000.0,13.0,3204.0,2,2,567.0,250.0,1926.0,-37.9144,145.0401
Box Hill,33 Pendle St,4,casa,1670000.0,13.1,3128.0,4,4,707.0,162.0,1926.0,-37.8166,145.1354
Canterbury,21 Compton St,4,casa,2950000.0,9.0,3126.0,2,3,812.0,173.0,1927.0,-37.8323,145.0842
Box Hill,12 Barcelona St,4,casa,1461400.0,13.1,3128.0,2,2,780.0,235.0,1927.0,-37.8244,145.1319
Balwyn,5 Millah Rd,4,casa,3270000.0,9.7,3103.0,2,4,935.0,241.0,1927.0,-37.8157,145.0795
Albion,70 Forrest St,3,casa,600000.0,13.9,3020.0,1,1,697.0,110.0,1928.0,-37.7842,144.8175
Kew,30 College Pde,4,casa,2590000.0,5.6,3101.0,2,2,660.0,215.0,1928.0,-37.8124,145.0361
Bentleigh,8 Rose St,4,casa,2435000.0,13.0,3204.0,2,2,795.0,250.0,1928.0,-37.9166,145.0314
Preston,421 Murray Rd,4,casa,760000.0,8.8,3072.0,8,7,1254.0,280.0,1928.0,-37.7367,144.9895
South Yarra,3/38 Arnold St,1,kitnet,540000.0,3.3,3141.0,1,1,480.0,53.0,1930.0,-37.8356,144.9767
Middle Park,2/61 Canterbury Rd,2,kitnet,535000.0,4.1,3206.0,1,1,760.0,58.0,1930.0,-37.8474,144.9625
St Kilda,2/16 Charnwood Rd,2,kitnet,650000.0,6.1,3182.0,1,0,822.0,70.0,1930.0,-37.8585,144.9854
Prahran,1/70 Williams Rd,2,casa,910000.0,4.5,3181.0,1,1,183.0,71.0,1930.0,-37.8543,145.0024
St Kilda,23A Havelock St,2,casa,1120000.0,6.1,3182.0,1,0,135.0,74.0,1930.0,-37.85849,144.9807
Abbotsford,27 Charles St,2,casa,1030000.0,2.5,3067.0,1,1,172.0,81.0,1930.0,-37.8086,144.9946
South Yarra,8 Cliff St,2,casa,1100000.0,3.3,3141.0,1,0,176.0,81.0,1930.0,-37.8436,144.9925
Flemington,21 Wisewould St,2,casa,855000.0,4.4,3031.0,1,0,225.0,85.0,1930.0,-37.7849,144.9197
Caulfield South,23 Lygon St,2,casa,825000.0,9.3,3162.0,1,1,367.0,85.0,1930.0,-37.8995,145.0241
West Footscray,107 Alma St,3,casa,1575000.0,8.2,3012.0,1,4,1000.0,85.0,1930.0,-37.7936,144.8639
Yarraville,52 Severn St,3,casa,865000.0,7.0,3013.0,1,1,189.0,87.0,1930.0,-37.8159,144.8795
Balwyn North,54 Sutton St,3,casa,1818000.0,9.2,3104.0,1,1,722.0,90.0,1930.0,-37.7956,145.0829
Brunswick West,64 Pearson St,3,casa,955000.0,5.9,3055.0,1,0,220.0,93.0,1930.0,-37.7659,144.9494
North Melbourne,3 Murphy St,3,casa,1470000.0,2.3,3051.0,1,0,232.0,93.0,1930.0,-37.7977,144.9512
Coburg North,64 Elizabeth St,3,casa,650000.0,9.2,3058.0,1,1,407.0,95.0,1930.0,-37.7351,144.9833
Camberwell,591 Camberwell Rd,2,casa,895000.0,7.8,3124.0,1,1,424.0,95.0,1930.0,-37.8465,145.0743
Brunswick,28 Osborne St,3,casa,855000.0,5.2,3056.0,1,1,229.0,97.0,1930.0,-37.7622,144.9586
Hughesdale,19 Canterbury St,3,casa,1055000.0,13.0,3166.0,1,1,562.0,97.0,1930.0,-37.9022,145.0811
Hughesdale,22 Skipton Rd,4,casa,1337000.0,13.0,3166.0,1,2,696.0,100.0,1930.0,-37.8991,145.0804
Elsternwick,12/66 Riddell Pde,2,kitnet,626000.0,8.5,3185.0,1,1,1764.0,100.0,1930.0,-37.8889,145.0043
Flemington,61 Canterbury St,3,casa,1012000.0,4.4,3031.0,1,1,212.0,102.0,1930.0,-37.7818,144.9247
Thornbury,111 Smith St,2,casa,1085000.0,6.5,3071.0,1,2,303.0,102.0,1930.0,-37.7569,144.9914
Glen Iris,28 Martin Rd,3,casa,1601000.0,9.2,3146.0,1,2,453.0,102.0,1930.0,-37.8487,145.04316
Oakleigh,1/1478 Dandenong Rd,3,kitnet,690000.0,14.0,3166.0,1,2,340.0,103.0,1930.0,-37.8968,145.0983
West Footscray,2/663 Barkly St,3,kitnet,580000.0,8.2,3012.0,1,0,183.0,104.0,1930.0,-37.79711,144.8684
Newport,12 Severn St,2,casa,816000.0,8.4,3015.0,1,1,315.0,104.0,1930.0,-37.8465,144.8714
Newport,63 Mason St,3,casa,805000.0,8.4,3015.0,1,2,322.0,104.0,1930.0,-37.8422,144.8784
Ormond,2 Wimmera St,2,casa,1177000.0,11.8,3204.0,1,2,452.0,105.0,1930.0,-37.9024,145.0539
Essendon,16 Kendall St,3,casa,1295000.0,8.0,3040.0,1,3,688.0,105.0,1930.0,-37.7578,144.9317
Box Hill,22 William St,3,casa,1500000.0,13.1,3128.0,1,2,664.0,106.0,1930.0,-37.8235,145.1276
Prahran,57 Clarke St,2,casa,1590000.0,4.5,3181.0,1,2,308.0,107.0,1930.0,-37.8492,145.0019
Prahran,29 Murray St,2,casa,1500000.0,4.5,3181.0,1,2,222.0,108.0,1930.0,-37.8501,144.9995
Brunswick,54 Davies St,2,casa,1075000.0,5.2,3056.0,1,0,311.0,108.0,1930.0,-37.7572,144.9687
Sunshine,73 Monash St,3,casa,840000.0,12.6,3020.0,1,1,462.0,108.0,1930.0,-37.78746,144.83729
Newport,16 Milford St,2,casa,760000.0,8.4,3015.0,1,2,255.0,109.0,1930.0,-37.8469,144.8766
Fairfield,52 Rayment St,3,casa,1350000.0,5.8,3078.0,1,4,553.0,109.0,1930.0,-37.7728,145.0214
Carnegie,2 Kokaribb Rd,2,casa,930000.0,11.4,3163.0,1,1,264.0,110.0,1930.0,-37.8864,145.0561
Brunswick East,22 Lord St,3,casa,1335000.0,4.5,3057.0,1,2,308.0,113.0,1930.0,-37.7713,144.9744
Glen Iris,56 Wills St,2,casa,920000.0,9.2,3146.0,1,2,334.0,115.0,1930.0,-37.8577,145.0576
Brunswick West,1 Jordan St,2,casa,1315000.0,5.9,3055.0,1,2,554.0,116.0,1930.0,-37.7715,144.9426
Brighton East,244a South Rd,3,casa,930000.0,10.7,3187.0,1,1,329.0,117.0,1930.0,-37.9317,145.0218
Brighton East,11 Summerhill Rd,2,casa,1813000.0,10.7,3187.0,1,2,660.0,117.0,1930.0,-37.9179,145.0127
Reservoir,686 High St,3,casa,805000.0,11.2,3073.0,1,2,227.0,118.0,1930.0,-37.7286,145.0059
Box Hill,837 Canterbury Rd,3,casa,857000.0,13.1,3128.0,1,1,492.0,119.0,1930.0,-37.8283,145.1195
Altona,4 Blyth St,3,casa,1120000.0,13.8,3018.0,1,2,506.0,120.0,1930.0,-37.8693,144.8375
Heidelberg Heights,97 Edwin St,2,casa,815000.0,10.5,3081.0,1,2,589.0,120.0,1930.0,-37.7501,145.0505
Coburg,107 Moreland Rd,3,casa,766000.0,7.8,3058.0,1,0,378.0,124.0,1930.0,-37.7561,144.9716
Coburg,105 Moreland Rd,3,casa,812000.0,7.8,3058.0,1,1,370.0,130.0,1930.0,-37.7561,144.9718
Ivanhoe,103 Waterdale Rd,3,casa,1225000.0,7.9,3079.0,1,1,572.0,130.0,1930.0,-37.7709,145.0425
Northcote,239 Victoria Rd,3,casa,1000000.0,5.5,3070.0,1,1,440.0,131.0,1930.0,-37.7663,145.0118
Thornbury,145 Shaftesbury Pde,3,casa,1195000.0,6.5,3071.0,1,2,463.0,131.0,1930.0,-37.75655,145.0083
Camberwell,6 Gavan St,3,casa,1780000.0,7.8,3124.0,1,1,769.0,133.0,1930.0,-37.8482,145.0949
Newport,31 Milford St,2,casa,1030000.0,8.4,3015.0,1,2,470.0,136.0,1930.0,-37.8471,144.8769
Glen Iris,56 Brandon St,3,casa,1820000.0,9.2,3146.0,1,3,650.0,136.0,1930.0,-37.8571,145.0766
Glen Huntly,83 Grange Rd,3,casa,1160000.0,10.4,3163.0,1,2,553.0,137.0,1930.0,-37.8878,145.0456
Glen Iris,32 Howie St,3,casa,1751000.0,9.2,3146.0,1,3,609.0,140.0,1930.0,-37.8542,145.0733
Coburg,1 Shaftsbury St,4,casa,990000.0,7.8,3058.0,1,1,488.0,142.0,1930.0,-37.7537,144.9532
Glen Iris,28 Ferndale Rd,3,casa,2200000.0,9.2,3146.0,1,2,700.0,142.0,1930.0,-37.8553,145.0711
Strathmore,34 Woodland St,3,casa,1194000.0,9.7,3041.0,1,2,650.0,143.0,1930.0,-37.7436,144.9308
West Footscray,28 Khartoum St,4,casa,830000.0,8.2,3012.0,1,2,426.0,144.0,1930.0,-37.7919,144.8793
Brighton East,4 Bruce St,4,casa,1389000.0,10.7,3187.0,1,2,656.0,150.0,1930.0,-37.9027,145.0225
Brighton East,9a Elizabeth St,3,casa,1355000.0,10.7,3187.0,1,2,759.0,151.0,1930.0,-37.9057,145.0166
